"dep","dep_lat","dep_lng","dest","dest_lat","dest_lng","crash","crash_lat","crash_lng"
"Rochester-Monroe County Airport, NY (ROC/KROC), United States of America","43.12941",-77.67389,"Newark International Airport, NJ (EWR/KEWR), United States of America","40.7047",-74.1855,"Rochester-Monroe County Airport, NY (ROC) (   United States of America)","43.12941",-77.67389
"Málaga Airport (AGP/LEMG), Spain","36.71839",-4.41993,"London-Heathrow Airport (LHR/EGLL), United Kingdom","51.47247",-0.45288,"Blackdown Hill, Haslemere, West Sussex (   United Kingdom)","51.05332",-0.68783
"Tampa International Airport, FL (TPA/KTPA), United States of America","27.96139",-82.5128,"Newark International Airport, NJ (EWR/KEWR), United States of America","40.7047",-74.1855,"Tampa International Airport, FL (TPA) (   United States of America)","27.96139",-82.5128
"Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY), Australia",-33.93349,"151.23596","Perth Airport, WA (PER/YPPH), Australia",-31.9348,"115.95932","Sydney-Kingsford Smith International Airport, NSW (SYD) (   Australia)",-33.93349,"151.23596"
"Dzhida Air Base, Russia","50.67651","106.17163","Bada Air Base, Russia","51.3862","109.84661","5,2 km (3.3 mls) from  Bada Air Base (   Russia)","51.3862","109.84661"
"São Paulo-Campo de Marte Airport, SP (SBMT), Brazil",-23.69397,-46.6748,"Rio de Janeiro-Santos Dumont Airport, RJ (SDU/SBRJ), Brazil",-22.97243,-43.22459,"0,8 km (0.5 mls) N of São Paulo-Campo de Marte Airport, SP (   Brazil)",-23.64644,-46.66022
"Tegucigalpa-Toncontin Airport (TGU/MHTG), Honduras","14.08192",-87.20551,"Managua-Augusto C. Sandino Airport (MGA/MNMG), Nicaragua","12.1172",-86.24079,Managua-Augusto C. Sandino Airport (MGA) (   Nicaragua),"12.1172",-86.24079
"Tampa International Airport, FL (TPA/KTPA), United States of America","27.96139",-82.5128,"Fort Lauderdale International Airport, FL (FLL/KFLL), United States of America","26.1276",-80.34245,"Tampa International Airport, FL (TPA) (   United States of America)","27.96139",-82.5128
"Palma de Mallorca Airport (PMI/LEPA), Spain","41.48944","2.30925","London-Heathrow Airport (LHR/EGLL), United Kingdom","51.47247",-0.45288,"near La Plance, near Nantes (   France)","47.0171",-1.43593
"Trinidad Airport (TDD/SLTR), Bolivia",-14.83093,-64.89863,"Oruro Airport (ORU/SLOR), Bolivia",-17.97474,-67.04607,"8 km (5 mls) SW of San Francisco de Moxos (   Bolivia)",-16.71078,-61.06322
"Redding Airport, CA (RDD/KRDD), United States of America","40.54203",-122.3028,"Portland International Airport, OR (PDX/KPDX), United States of America","45.58556",-122.59057,"Portland International Airport, OR (PDX) (   United States of America)","45.58556",-122.59057
"Villa Reynolds Airport, SL (SAOR), Argentina",-33.71893,-65.38088,"Córdoba-Pajas Blancas Airport, CD (COR/SACO), Argentina",-31.20687,-64.28383,"30 km (18.8 mls) SE of Villa Dolores, CD (   Argentina)",-31.94747,-65.18789
"Taipei-Songshan Airport (TSA/RCSS), Taiwan","25.05004","121.5773","Hualien Airport (HUN/RCYU), Taiwan","23.98216","121.60655",Hualien Airport (HUN) (   Taiwan),"23.98216","121.60655"
"Sukhumi-Babusheri Airport (SUI/UGSS), Georgia","43.00709","41.00918","Tbilisi-Novo Alexeyevka Airport (TBS/UGGG), Georgia","41.70907","44.79611",Sukhumi-Babusheri Airport (SUI) (   Georgia),"43.00709","41.00918"
"San José-Juan Santamaria International Airport (SJO/MROC), Costa Rica","9.65268",-83.96555,"Cartagena Airport (CTG/SKCG), Colombia","8.54213",-73.36756,San José-Juan Santamaria International Airport (SJO) (   Costa Rica),"9.65268",-83.96555
"Los Angeles International Airport, CA (LAX/KLAX), United States of America","33.95973",-118.38554,"Palmdale Airport, CA (PMD/KPMD), United States of America","34.57923",-118.11657,"Los Angeles International Airport, CA (LAX) (   United States of America)","34.19571",-118.34923
"Batavia-Genesee County Airport, NY (KGVQ), United States of America","42.99836",-78.18825,"Howell-Livingston County Spencer J. Hardy Airport, MI (KOZW), United States of America","42.64245",-83.83508,"Howell-Livingston County Spencer J. Hardy Airport, MI (   United States of America)","42.64245",-83.83508
"Santiago-Los Cerrillos Airport (ULC/SCTI), Chile",-33.49182,-70.71531,"Arica-Chacalluta Airport (ARI/SCAR), Chile",-18.47515,-70.29288,Mt Mercedario (   Chile),"20.70953",-103.33086
"Montgomery Municipal Airport, AL (GUN), United States of America","32.38015",-86.30008,"Atlanta Municipal Airport, GA (ATL/KATL), United States of America","33.64212",-84.44939,"near Montgomery Municipal Airport, AL (GUN) (   United States of America)","32.38015",-86.30008
"Malden AAF, MO (MAW/KMAW), United States of America","36.55829",-89.967,"Marion-Williamson County Airport, IL (MWA/KMWA), United States of America","37.75126",-88.9743,"9 km (5.6 mls) S of Ironton, MO (   United States of America)","37.60786",-90.62845
"Santa Clara Airport (SNU/MUSC), Cuba","22.40787",-79.96504,"Havana-Rancho Boyeros Airport (HAV/MUHA), Cuba","23.05768",-82.40266,near Esperanza (   Cuba),"22.45502",-80.0916
"Chicago-Midway Airport, IL (MDW/KMDW), United States of America","41.88897",-87.77153,"Newark International Airport, NJ (EWR/KEWR), United States of America","40.7047",-74.1855,"Chicago-Midway Airport, IL (MDW) (   United States of America)","41.88897",-87.77153
"Santiago-Los Cerrillos Airport (ULC/SCTI), Chile",-33.49182,-70.71531,"Arica-Chacalluta Airport (ARI/SCAR), Chile",-18.47515,-70.29288,"2 km (1.3 mls) SSE of Santiago-Los Cerrillos Airport (ULC) (   Chile)",-33.48862,-70.70079
"San Borja-Capitan G.Q. Guardia Airport (SRJ/SLSB), Bolivia",-14.85837,-66.74392,"La Paz-El Alto Airport (LPB/SLLP), Bolivia",-16.51019,-68.15912,"40 km (25 mls) SE of San Borja (   Bolivia)",-14.85837,-66.74392
"Salvador-Dois de Julho International Airport, BA (SSA/SBSV), Brazil",-12.91482,-38.44443,"Natal-Augusto Severo International Airport, RN (NAT/SBNT), Brazil",-5.82433,-35.23797,"Caruaru, PE (   Brazil)",-8.27771,-35.98154
"Florianópolis-Hercilio Luz International Airport, SC (FLN/SBFL), Brazil",-27.59478,-48.54498,"Curitiba Airport, PR (CWB/SBCT), Brazil",-25.43998,-49.27654,"near Curitiba Airport, PR (CWB) (   Brazil)",-25.43998,-49.27654
"Cochabamba-J Wilsterman Airport (CBB/SLCB), Bolivia",-17.39006,-66.16046,"La Paz-El Alto Airport (LPB/SLLP), Bolivia",-16.51019,-68.15912,"15 km (9.4 mls) S of Cochabamba-J Wilsterman Airport (CBB) (   Bolivia)",-17.39006,-66.16046
"An Khe Air Base, Vietnam","13.95186","108.66019","Bong Son Landing Zone, Vietnam","14.43182","108.99444","9 km (5.6 mls) E of An Khe (   Vietnam)","13.95186","108.66019"
"Chita Airport (HTA/UIAA), Russia","52.02447","113.51298","Novosibirsk-Tolmachevo Airport (OVB/UNNN), Russia","55.03977","82.91017","0,3 km (0.2 mls) W of Chita Airport (HTA) (   Russia)","52.02447","113.51298"
"Chernovtsy Airport (CWC/UKLN), Ukraine","48.29246","25.93555","Kiev-Zhulhyany Airport (IEV/UKKK), Ukraine","47.86484","31.02088","1 km (0.6 mls) from  Kiev-Zhulhyany Airport (IEV) (   Ukraine)","47.86484","31.02088"
"Freeport-Grand Bahama International Airport (FPO/MYGF), Bahamas","26.5356",-78.69696,"Fort Lauderdale International Airport, FL (FLL/KFLL), United States of America","26.1276",-80.34245,near Freeport-Grand Bahama International Airport (FPO) (   Bahamas),"26.5356",-78.69696
"Glasgow-Abbotsinch Airport (GLA/EGPF), United Kingdom","55.8673",-4.42521,"Kirkwall Airport (KOI/EGPA), United Kingdom","58.98177",-2.96039,Kirkwall Airport (KOI) (   United Kingdom),"58.98177",-2.96039
"Alice Springs Airport, NT (ASP/YBAS), Australia",-23.70267,"133.88131","Katherine-Tindal Airport, NT (KTR/YPTN), Australia",-14.46389,"132.2652","Katherine-Tindal Airport, NT (KTR) (   Australia)",-14.47203,"132.25692"
"Singapore-Changi International Airport (SIN/WSSS), Singapore","1.34548","103.98339","Milano-Malpensa Airport (MXP/LIMC), Italy","45.46796","9.18178",Singapore-Changi International Airport (SIN) (   Singapore),"1.34548","103.98339"
"Chernovtsy Airport (CWC/UKLN), Ukraine","48.29246","25.93555","Bucharest-Baneasa Airport (BBU/LRBS), Romania","44.49402","26.08011","Negrileasa, Stulpicani, Suceava (   Romania)","47.42233","25.81443"
"Debrecen Airport (DEB/LHDC), Hungary","47.55024","21.65162","Budapest-Ferihegy Airport (BUD/LHBP), Hungary","47.44469","19.21315",SW of Debrecen Airport (DEB) (   Hungary),"47.55024","21.65162"
"Dreux-Vernouillet Airport (XDR/LFON), France","48.73023","1.3637","Wenigenlupnitz Advanced Landing Ground R-1 (EIB/EDGE), Germany","50.98082","10.42917",Wenigenlupnitz Advanced Landing Ground R-1 (EIB) (   Germany),"50.98082","10.42917"
"Kodiak Airport, AK (ADQ/PADQ), United States of America","57.75554",-152.51481,"Unalaska Airport, AK (DUT/PADU), United States of America","53.89396",-166.54182,within Alaska (   United States of America),"44.54013",-87.50095
"München-Riem Airport (MUC/EDDM), Germany","48.14058","11.68107","St. Moritz-Samedan Airport (SMV/LSZS), Switzerland","46.49706","9.83817","3 km (1.9 mls) NE of St. Moritz-Samedan Airport (SMV) (   Switzerland)","46.49706","9.83817"
"Berlin-Schönefeld Airport (SXF/EDDB), Germany","52.39696","13.53075","Budapest-Ferihegy Airport (BUD/LHBP), Hungary","47.44469","19.21315","1,3 km (0.8 mls) SE of Budapest-Ferihegy Airport (BUD) (   Hungary)","47.44469","19.21315"
"Guatemala City-La Aurora Airport (GUA/MGGT), Guatemala","14.63462",-90.50911,"Managua-Augusto C. Sandino Airport (MGA/MNMG), Nicaragua","12.1172",-86.24079,Managua-Augusto C. Sandino Airport (MGA) (   Nicaragua),"12.1172",-86.24079
"Pittsburgh-Greater Pittsburgh Airport, PA (PIT/KPIT), United States of America","40.51167",-80.08959,"Charleston-Kanawha County Airport, WV (CRW/KCRW), United States of America","38.36551",-81.5939,"Charleston-Kanawha County Airport, WV (CRW) (   United States of America)","38.36551",-81.5939
"Hall Beach Airport, NU (YUX/CYUX), Canada","68.79277",-81.23754,"Cambridge Bay Airport, NU (YCB/CYCB), Canada","69.10995",-105.09688,"near Hall Beach Airport, NU (YUX) (   Canada)","68.79277",-81.23754
"Frankfurt-Rhein-Main AFB (FRF/EDAF), Germany","50.11208","8.68342","Frankfurt-Rhein-Main AFB (FRF/EDAF), Germany","50.11208","8.68342","2 km (1.3 mls) SW of Markt Schwaben (   Germany)","48.19005","11.869"
"Manby RAF Station, United Kingdom","52.56443",-1.82424,"Manby RAF Station, United Kingdom","52.56443",-1.82424,"2,2 km (1.4 mls) E of Louth (   United Kingdom)","53.3665",-0.00742
"Poza Rica-Tajin Airport (PAZ/MMPA), Mexico","20.52459",-97.45767,"Minatitlán/Coatzacoalcos International Airport (MTT/MMMT), Mexico","18.11412",-94.44672,"13 km (8.1 mls) SE of Sontecomapan (   Mexico)","18.50405",-95.03433
"Reykjavík-Naval Air Station Keflavík (KEF/BIKF), Iceland","64.14586",-21.93955,"Reykjavík-Naval Air Station Keflavík (KEF/BIKF), Iceland","64.14586",-21.93955,Reykjavík-Naval Air Station Keflavík (KEF) (   Iceland),"64.14586",-21.93955
"Kiev-Zhulhyany Airport (IEV/UKKK), Ukraine","47.86484","31.02088","Minsk-1 International Airport (MHP/UMMM), Belarus","53.90376","27.56544","5,3 km (3.3 mls) NW of Minsk-1 International Airport (MHP) (   Belarus)","53.90376","27.56544"
"San José-La Sabana Airport, Costa Rica","9.93241",-84.10325,"San José-La Sabana Airport, Costa Rica","9.93241",-84.10325,SW of San José-La Sabana Airport (   Costa Rica),"9.93241",-84.10325
"La Paz-El Alto Airport (LPB/SLLP), Bolivia",-16.51019,-68.15912,"Santa Cruz-Viru Viru International Airport (VVI/SLVR), Bolivia",-17.78966,-63.10841,"55 km (34.4 mls) from  Santa Cruz (   Bolivia)",-17.78368,-63.18041
"Valencia Airport (VLC/LEVC), Spain","39.46895",-0.37686,"Valencia Airport (VLC/LEVC), Spain","39.46895",-0.37686,Sierra de Mariola (   Spain),"39.97471",-0.05123
"Merced Municipal Airport, CA (MCE/KMCE), United States of America","37.30126",-120.48619,"Merced Municipal Airport, CA (MCE/KMCE), United States of America","37.30126",-120.48619,"Merced Municipal Airport, CA (MCE) (   United States of America)","37.30126",-120.48619
"New York-John F. Kennedy International Airport, NY (JFK/KJFK), United States of America","40.65467",-73.78911,"Minneapolis-St. Paul International Airport, MN (MSP/KMSP), United States of America","44.95151",-93.32273,"near Saginaw, MI (   United States of America)","43.4194",-83.94652
"Borki Airport, Russia","53.95156","41.82343","Borki Airport, Russia","53.95156","41.82343","2 km (1.3 mls) from  Borki (   Russia)","57.17315","66.06859"
"Medford-Rogue Valley International, OR (MFR/KMFR), United States of America","42.33027",-122.87576,"Portland International Airport, OR (PDX/KPDX), United States of America","45.58556",-122.59057,"Portland International Airport, OR (PDX) (   United States of America)","45.58556",-122.59057
"Fairbanks International Airport, AK (FAI/PAFA), United States of America","64.83702",-147.74268,"Fairbanks International Airport, AK (FAI/PAFA), United States of America","64.83702",-147.74268,"96 km (60 mls) W of Fort Yukon, AK (   United States of America)","66.56489",-145.24143
"Tuscaloosa-Van De Graaf Airport, AL (TCL/KTCL), United States of America","33.21043",-87.56625,"Grain Valley-East Kansas City Airport, MO, United States of America","39.21194",-94.74106,"Grain Valley-East Kansas City Airport, MO (   United States of America)","39.21194",-94.74106
"Voronezh Airport (VOZ/UUOO), Russia","51.66782","39.20696","Tver-Migalovo Airport (KLD/UUEM), Russia","56.85263","35.93316","near Krasny Oktyabr, Tula Region (   Russia)","53.41397","37.36548"
"Milwaukee-General Mitchell Airport, WI (MKE/KMKE), United States of America","43.02565",-87.97557,"Milwaukee-General Mitchell Airport, WI (MKE/KMKE), United States of America","43.02565",-87.97557,"near Watertown, WI (   United States of America)","43.19737",-88.72047
"Taitung Airport (TTT/RCFN), Taiwan","22.75489","121.14642","Taitung Airport (TTT/RCFN), Taiwan","22.75489","121.14642",Taitung Airport (TTT) (   Taiwan),"22.75489","121.14642"
"Châteaudun-Advanced Landing Ground A-39 (LFOC), France","48.07037","1.33219","Châteaudun-Advanced Landing Ground A-39 (LFOC), France","48.07037","1.33219","8 km (5 mls) from  Bastogne (   Belgium)","50.00092","5.71455"
"Newark International Airport, NJ (EWR/KEWR), United States of America","40.7047",-74.1855,"Chicago Municipal Airport, IL (MDW/KMDW), United States of America","41.51229",-87.65179,"E of Columbus-Port Columbus International Airport, OH (CMH) (   United States of America)","40.00038",-82.90438
"Utica-Oneida County Airport, NY (UCA/KUCA), United States of America","43.09589",-75.24258,"Newark International Airport, NJ (EWR/KEWR), United States of America","40.7047",-74.1855,"2,4 km (1.5 mls) SE of Utica, NY (   United States of America)","43.09589",-75.24258
"Tel Aviv-Lod International Airport (TLV/LLBG), Israel","32.08557","34.78954","Tel Aviv-Lod International Airport (TLV/LLBG), Israel","32.08557","34.78954",Tel Aviv-Lod International Airport (TLV) (   Israel),"32.08557","34.78954"
"Oakland International Airport, CA (OAK/KOAK), United States of America","37.71965",-122.20218,"Oakland International Airport, CA (OAK/KOAK), United States of America","37.71965",-122.20218,"Stockton Airport, CA (SCK) (   United States of America)","37.91573",-121.26051
"Santa Cruz-Viru Viru International Airport (VVI/SLVR), Bolivia",-17.78966,-63.10841,"Arica-Chacalluta Airport (ARI/SCAR), Chile",-18.47515,-70.29288,ca 14 km NE of Putre (   Chile),-18.19613,-69.5593
"Union Springs-Franklin Field Airport, AL, United States of America","32.04086",-85.69768,"Union Springs-Franklin Field Airport, AL, United States of America","32.04086",-85.69768,"near Union Springs, AL (   United States of America)","32.14615",-85.71267
"Raleigh/Durham Airport, NC (RDU/KRDU), United States of America","35.98693",-78.66861,"Newark International Airport, NJ (EWR/KEWR), United States of America","40.7047",-74.1855,"Atlanta, GA (   United States of America)","33.74832",-84.39111
"Burbank/Glendale/Pasadena Airport, CA (BUR/KBUR), United States of America","34.19571",-118.34923,"Oakland International Airport, CA (OAK/KOAK), United States of America","37.71965",-122.20218,"Avenal, CA (   United States of America)","36.0039",-120.12983
"Eilat Airport (ETH/LLET), Israel","29.55004","34.95305","Rosh Pina Airport (RPN/LLIB), Israel","32.96891","35.54939",Rosh Pinah (   Israel),"32.96891","35.54939"
"Minneapolis-Flying Cloud Airport, MN (FCM/KFCM), United States of America","45.18602",-93.22921,"Minneapolis-Flying Cloud Airport, MN (FCM/KFCM), United States of America","45.18602",-93.22921,"Minneapolis-Flying Cloud Airport, MN (FCM) (   United States of America)","45.18602",-93.22921
"Curitiba-Afonso Pena International Airport, PR (CWB/SBCT), Brazil",-25.42545,-49.22856,"Canela Airport, RS (SSCN), Brazil",-29.36176,-50.81206,"Canela Airport, RS (   Brazil)",-29.36176,-50.81206
"Bucharest-Baneasa Airport (BBU/LRBS), Romania","44.49402","26.08011","Bucharest-Baneasa Airport (BBU/LRBS), Romania","44.49402","26.08011",near Bucharest (   Romania),"44.4343","26.10298"
"Bemidji Airport, MN (BJI/KBJI), United States of America","47.47315",-94.87965,"Bemidji Airport, MN (BJI/KBJI), United States of America","47.47315",-94.87965,"Bemidji Airport, MN (BJI) (   United States of America)","47.47315",-94.87965
"São Paulo-Congonhas Airport, SP (CGH/SBSP), Brazil",-20.50904,-43.85437,"Rio de Janeiro-Santos Dumont Airport, RJ (SDU/SBRJ), Brazil",-22.97243,-43.22459,"ca 1 km E of São Paulo-Congonhas Airport, SP (CGH) (   Brazil)",-20.50904,-43.85437
"Asunción-Silvio Pettirossi Airport (ASU/SGAS), Paraguay",-25.29753,-57.62321,"Montevideo-Carrasco Airport (MVD/SUMU), Uruguay",-34.88268,-56.05753,near Asunción (   Paraguay),-25.29738,-57.62775
"Poughkeepsie-Dutchess County Airport, NY (POU/KPOU), United States of America","41.707",-73.92922,"New York-John F. Kennedy International Airport, NY (JFK/KJFK), United States of America","40.65467",-73.78911,"Poughkeepsie-Dutchess County Airport, NY (POU) (   United States of America)","41.707",-73.92922
"Uncertain, TX, United States of America","32.70704",-94.12094,"Destin Airport, FL (DSI/KDTS), United States of America","30.39638",-86.47798,"Uncertain, TX (   United States of America)","32.70704",-94.12094
"Rockford-Greater Rockford Airport, IL (RFD/KRFD), United States of America","42.27064",-89.0583,"Dillon Airport, MT (DLN/KDLN), United States of America","45.2515",-112.56442,"Dillon Airport, MT (DLN) (   United States of America)","45.2515",-112.56442
"Bogotá-Eldorado Airport (BOG/SKBO), Colombia","4.73581",-74.12336,"Leticia-Alfredo Vásquez Cobo Airport (LET/SKLT), Colombia","2.44491",-76.60139,Bogotá-Eldorado Airport (BOG) (   Colombia),"4.73581",-74.12336
"Varanasi Airport (VNS/VIBN), India","25.33289","82.99655","Khajuraho Airport (HJR/VAKJ), India","24.84748","79.91932",Khajuraho Airport (HJR) (   India),"24.84748","79.91932"
"Rifle-Garfield County Airport, CO (RIL), United States of America","39.51942",-107.71156,"Denver International Airport, CO (DEN/KDEN), United States of America","39.85139",-104.68097,"near Rifle-Garfield County Airport, CO (RIL) (   United States of America)","39.51942",-107.71156
"Bogotá-Eldorado Airport (BOG/SKBO), Colombia","4.73581",-74.12336,"Barranquilla-Ernesto Cortissoz Airport (BAQ/SKBQ), Colombia","10.98269",-74.83019,Bogotá-Eldorado Airport (BOG) (   Colombia),"4.73581",-74.12336
"Wien-Schwechat International Airport (VIE/LOWW), Austria","48.13987","16.47717","Tel Aviv-Lod International Airport (TLV/LLBG), Israel","32.08557","34.78954",Tel Aviv-Lod International Airport (TLV) (   Israel),"32.08557","34.78954"
"Kingston Airport (KIN/MKJP), Jamaica","18.05123",-76.83562,"Barranquilla-Ernesto Cortissoz Airport (BAQ/SKBQ), Colombia","10.98269",-74.83019,Galapa (   Colombia),"10.90046",-74.88295
"Algiers-Dar el Beida Airport (ALG/DAAG), Algeria","36.7126","3.21282","Basel/Mulhouse Airport (BSL/LFSB), France","47.75171","7.34368",near Valence-Chabeuil Airport (VAF) (   France),"44.92856","4.9108"
"Emerald Airport, QLD (EMD/YEML), Australia",-23.5133,"148.15713","Thangool Airport, QLD (THG/YTNG), Australia",-24.48633,"150.57418","Emerald Airport, QLD (EMD) (   Australia)",-23.5133,"148.15713"
"Mexico City International Airport (MEX/MMMX), Mexico","19.48027",-99.12526,"Mérida-Rejon Airport (MID/MMMD), Mexico","20.9667",-89.62317,Poza Rica (   Mexico),"18.62416",-95.52751
"Iasi Airport (IAS/LRIA), Romania","47.15942","27.58731","Bacau Airport (BCM/LRBC), Romania","46.56909","26.91096",Paragina Hill (   Romania),"41.20209","1.59936"
"Murmansk Airport (MMK/ULMM), Russia","68.97229","33.08808","Umba Airport (ULMA), Russia","66.6853","34.3455","20 km (12.5 mls) from  Murmansk Airport (MMK) (   Russia)","68.97229","33.08808"
"Leavesden Airport (EGTI), United Kingdom","51.69298",-0.40863,"Sturgate Airport (EGCS), United Kingdom","53.39247",-0.67976,"Sturgate, Lincolnshire  (EGCS) (   United Kingdom)","53.39237",-0.67971
"Mombasa-Moi International Airport (MBA/HKMO), Kenya",-4.03233,"39.61266","Kigali Airport (KGL/HRYR), Rwanda",-1.97537,"30.03242",Nairobi-Jomo Kenyatta International Airport (NBO) (   Kenya),-1.33092,"36.92518"
"Anchorage International Airport, AK (ANC/PANC), United States of America","61.17391",-149.94619,"King Salmon Airport, AK (AKN/PAKN), United States of America","56.92852",-158.65259,"near King Salmon Airport, AK (AKN) (   United States of America)","56.92852",-158.65259
"San José del Guaviare Airport (SJE/SKSJ), Colombia","2.56872",-72.6409,"Bogotá-Eldorado Airport (BOG/SKBO), Colombia","4.73581",-74.12336,near Quetame (   Colombia),"4.3302",-73.8633
"White Plains-Westchester County Airport, NY (HPN/KHPN), United States of America","41.03466",-73.74772,"Poughkeepsie-Dutchess County Airport, NY (POU/KPOU), United States of America","41.707",-73.92922,"Poughkeepsie, NY (   United States of America)","41.707",-73.92922
"Groton-New London Airport, CT (GON/KGON), United States of America","41.35487",-72.07145,"New Haven Airport, CT (HVN/KHVN), United States of America","41.30801",-72.92432,"1,5 km (0.9 mls) S of New Haven Airport, CT (HVN) (   United States of America)","41.30884",-72.90423
"North Bay Airport, ON (YYB/CYYB), Canada","46.33659",-79.45584,"Sudbury Airport, ON (YSB/CYSB), Canada","46.4896",-80.99012,"North Bay Airport, ON (YYB) (   Canada)","46.33659",-79.45584
"Maracaibo-La Chinita International Airport (MAR/SVMC), Venezuela","10.61012",-71.62759,"Bogotá-Eldorado Airport (BOG/SKBO), Colombia","4.73581",-74.12336,Bogotá-Eldorado Airport (BOG) (   Colombia),"4.73581",-74.12336
"Indianapolis International Airport, IN (IND/KIND), United States of America","39.8259",-86.29186,"Chicago-O'Hare International Airport, IL (ORD/KORD), United States of America","41.96638",-87.84859,"near Roselawn, IN (   United States of America)","41.14504",-87.31393
"Dubai Airport (DXB/OMDB), United Arab Emirates","25.2356","55.38086","Baghdad International Airport (BGW/ORBI), Iraq","33.34213","44.39309",near Baghdad International Airport (BGW) (   Iraq),"33.28919","44.29868"
"St. Louis Airport (XLS/GOSS), Senegal","16.02539",-16.50392,"Petrolina Internacional Airport, PE (PNZ/SBPL), Brazil",-9.39471,-40.50886,Atlantic Ocean (   Atlantic Ocean),"39.3549",-74.43495
"Saint Thomas Airport (STT/TIST), U.S. Virgin Islands","18.3362",-64.96861,"San Juan-Isla Verde International Airport (SJU/TJSJ), Puerto Rico","18.44919",-66.03748,"24 km (15 mls) SE of San Juan (   Puerto Rico)","18.38475",-66.05481
"Bangkok-Don Muang International Airport (BKK/VTBD), Thailand","13.91813","100.58991","Delhi-Palam Airport (DEL/VIDP), India","28.59109","77.09119",ca 20 km E of Delhi-Palam Airport (DEL) (   India),"28.59109","77.09119"
"Kansas City International Airport, MO (MCI/KMCI), United States of America","39.29788",-94.71359,"Springfield-Westover Metro Airport, MA (CEF/KCEF), United States of America","42.10747",-72.58902,"Kansas City International Airport, MO (MCI) (   United States of America)","39.29788",-94.71359
"Athens-Ellinikon International Airport (ATH/LGAT), Greece","38.00719","23.75357","Rhodes/Paradisi-Diagoras Airport (RHO/LGRP), Greece","36.44814","28.22569","1 km (0.6 mls) off  Rhodes/Paradisi-Diagoras Airport (RHO) (   Greece)","36.44814","28.22569"
"Beograd-Dojno Polje Airport, Serbia","44.81311","20.46329","Wien-Schwechat International Airport (VIE/LOWW), Austria","48.13987","16.47717","25 km (15.6 mls) NW of Wien-Schwechat International Airport (VIE) (   Austria)","48.13987","16.47717"
"Miami International Airport, FL (MIA/KMIA), United States of America","25.81247",-80.24239,"Bogotá-Eldorado Airport (BOG/SKBO), Colombia","4.73581",-74.12336,Bogotá-Eldorado Airport (BOG) (   Colombia),"4.73581",-74.12336
"Santa Ana-El Toro MCAS, CA (NZJ/KNZJ), United States of America","33.70656",-117.94292,"Alameda NAS, CA (NGZ/KNGZ), United States of America","27.69441",-97.27867,"5,6 km (3.5 mls) N of Niles, CA (   United States of America)","37.57992",-121.98549
"Villavicencio-La Vanguardia Airport (VVC/SKVV), Colombia","4.17808",-73.62123,"Bogotá-Eldorado Airport (BOG/SKBO), Colombia","4.73581",-74.12336,near Quétame (   Colombia),"4.3302",-73.8633
"Miami International Airport, FL (MIA/KMIA), United States of America","25.81247",-80.24239,"São Paulo/Campinas-Viracopos International Airport, SP (VCP/SBKP), Brazil",-23.01614,-47.14525,"São Paulo/Campinas-Viracopos International Airport, SP (VCP) (   Brazil)",-23.01614,-47.14525
"Lansing-Capital City Airport, MI (LAN/KLAN), United States of America","42.77139",-84.58881,"Muskegon Airport, MI (MKG/KMKG), United States of America","43.17632",-86.2216,"Muskegon Airport, MI (MKG) (   United States of America)","43.17632",-86.2216
"Düsseldorf International Airport (DUS/EDDL), Germany","51.21564","6.77666","Kos Airport (KGS/LGKO), Greece","36.89044","27.28932",Düsseldorf International Airport (DUS) (   Germany),"51.21564","6.77666"
"Alghero-Fertilia Airport (AHO/LIEA), Italy","40.59555","8.28381","Grenchen Airport (ZHI/LSZG), Switzerland","47.19288","7.3994",Grenchen Airport (ZHI) (   Switzerland),"47.19288","7.3994"
"Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL), United States of America","33.6416",-84.44581,"Dallas-Love Field, TX (DAL/KDAL), United States of America","32.84536",-96.86478,"Atlanta-William B. Hartsfield International Airport, GA (ATL) (   United States of America)","33.6416",-84.44581
"Pikangikum Airport, ON (YPM/CYPM), Canada","51.80395",-93.98851,"Poplar Hill Airport, ON (YHP), Canada","43.00398",-81.51023,"3,5 km (2.2 mls) from  Pikangikum, ON (   Canada)","51.80395",-93.98851
"Miami International Airport, FL (MIA/KMIA), United States of America","25.81247",-80.24239,"Bogotá-Eldorado Airport (BOG/SKBO), Colombia","4.73581",-74.12336,Bogotá-Eldorado Airport (BOG) (   Colombia),"4.73581",-74.12336
"Salzburg-W. A. Mozart Airport (SZG/LOWS), Austria","47.80066","13.04337","Wien-Schwechat International Airport (VIE/LOWW), Austria","48.13987","16.47717",Wien-Schwechat International Airport (VIE) (   Austria),"48.13987","16.47717"
"Kunming-Wujiaba Airfield (KMG/ZPPP), China","25.06452","102.69877","Jorhat-Rowriah Airport (JRH/VEJT), India","26.71731","94.17749",near Lhasa (   China),"29.66175","91.13072"
"Paris-Le Bourget Airport (LBG/LFPB), France","48.9445","2.43337","Toulouse-Blagnac Airport (TLS/LFBO), France","43.61396","1.41155",Saint-Léger-la-Montagne (   France),"46.03014","1.41865"
"Petropavlovsk-Kamchatsky Airport (PKC/UHPP), Russia","53.05868","158.63259","Magadan-13 Airport (UHMT), Russia","59.56523","150.80468",near Magadan (   Russia),"59.56523","150.80468"
